ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
457,-57.9,nan,64,1.5,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,34,6.5,NaN,Abducens nucleus motor neuron,"A-, T-, and H-type currents shape intrinsic firing of developing rat abducens motoneurons.",2003,http://neuroelectro.org/data_table/11076/,http://neuroelectro.org/article/45731/metadata/,Debanne D
59,-61,17,92.1,nan,-43,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32,44,NaN,Amygdala basolateral nucleus pyramidal neuron,Distinct subtypes of cholecystokinin (CCK)-containing interneurons of the basolateral amygdala identified using a CCK promoter-specific lentivirus.,2009,http://neuroelectro.org/data_table/242/,http://neuroelectro.org/article/26026/metadata/,Rainnie DG
63,-70,31,nan,nan,-35.5,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,31,49,NaN,Amygdala basolateral nucleus pyramidal neuron,Noradrenergic excitation of a subpopulation of GABAergic cells in the basolateral amygdala via both activation of nonselective cationic conductance and suppression of resting K+ conductance: a study using glutamate decarboxylase 67-green fluorescent protein knock-in mice.,2008,http://neuroelectro.org/data_table/26660/,http://neuroelectro.org/article/30833/metadata/,Yanagawa Y
40.7,-73.7,nan,61,nan,-54,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,80.5,330,Amygdala basolateral nucleus pyramidal neuron,Cellular mechanisms of infralimbic and prelimbic prefrontal cortical inhibition and dopaminergic modulation of basolateral amygdala neurons in vivo.,2002,http://neuroelectro.org/data_table/2952/,http://neuroelectro.org/article/37269/metadata/,Grace AA
46,-63,21,nan,nan,nan,Rats,Wistar,Sharp,in vitro,,NaN,32,38,135,Amygdala basolateral nucleus pyramidal neuron,Cholinergic responses of morphologically and electrophysiologically characterized neurons of the basolateral complex in rat amygdala slices.,1997,http://neuroelectro.org/data_table/24186/,http://neuroelectro.org/article/82009/metadata/,Criado JM
328.5,-69.65,24.55,91.05,0.95,-46.7,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32.5,24.5,NaN,Amygdala corticomedial nucleus pyramidal cell,Intrinsic subthreshold oscillations of the membrane potential in pyramidal neurons of the olfactory amygdala.,2005,http://neuroelectro.org/data_table/16755/,http://neuroelectro.org/article/12070/metadata/,Bacigalupo J
487.5,nan,21.82,82.16,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,24,20,NaN,Amygdaloid nucleus paracapsular intercalated cell,Different fear states engage distinct networks within the intercalated cell clusters of the amygdala.,2011,http://neuroelectro.org/data_table/1640/,http://neuroelectro.org/article/35210/metadata/,Ferraguti F
485.5,-84.9,24.5,73.4,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,34,17.2,NaN,Amygdaloid nucleus paracapsular intercalated cell,Synaptic heterogeneity between mouse paracapsular intercalated neurons of the amygdala.,2007,http://neuroelectro.org/data_table/10525/,http://neuroelectro.org/article/44296/metadata/,Capogna M
268,-48,28.2,66.7,0.52,-31.9,Mice,C57BL,Patch-clamp,in vitro,,NaN,36,42,NaN,Basalis nucleus cholinergic neuron,Selective optogenetic stimulation of cholinergic axons in neocortex.,2012,http://neuroelectro.org/data_table/9107/,http://neuroelectro.org/article/52586/metadata/,Waters J
160,nan,nan,77.8,nan,nan,Guinea Pigs,Guinea Pigs,Patch-clamp,in vitro,,NaN,30,28,300,Basalis nucleus cholinergic neuron,Neurotensin depolarizes cholinergic and a subset of non-cholinergic septal/diagonal band neurons by stimulating neurotensin-1 receptors.,1999,http://neuroelectro.org/data_table/23862/,http://neuroelectro.org/article/81617/metadata/,Matthews RT
