Neuron name,Restrictive neuron use list,Less restrictive,Brain regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medial entorhinal cortex layer II neurons,1,1,"Entorhinal area, medial part, dorsal zone, layer 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inferior colliculus neuron,1,1,Inferior colliculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRG temperature cell,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorsal root ganglion cell,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentate gyrus granule cell,1,1,"Dentate gyrus, granule cell layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex basket cell,0,0,Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal cord ventral horn motor neuron alpha,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoglossal nucleus motor neuron,1,1,Hypoglossal nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus of the solitary tract principal cell,1,1,Nucleus of the solitary tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA1 pyramidal cell,1,1,"Field CA1, pyramidal layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippocampus CA3 pyramidal cell,1,1,"Field CA3, pyramidal layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neostriatum medium spiny neuron,1,1,Caudoputamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalamic reticular nucleus cell,1,1,Reticular nucleus of the thalamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigeminal nucleus motor neuron,1,1,Motor nucleus of trigeminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neostriatum gaba/parvalbumin interneuron,0,0,Caudoputamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar nucleus cell,1,1,Cerebellar nuclei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neocortex pyramidal cell layer 5-6,0,1,"Primary motor area, Layer 5","Primary motor area, Layer 6a","Secondary motor area, layer 5","Secondary motor area, layer 6a","Primary somatosensory area, layer 5","Primary somatosensory area, layer 6a","Primary somatosensory area, nose, layer 5","Primary somatosensory area, nose, layer 6a","Primary somatosensory area, barrel field, layer 6a","Primary somatosensory area, lower limb, layer 5","Primary somatosensory area, lower limb, layer 6a","Primary somatosensory area, mouth, layer 5","Primary somatosensory area, mouth, layer 6a","Primary somatosensory area, upper limb, layer 5","Primary somatosensory area, upper limb, layer 6a","Primary somatosensory area, trunk, layer 5","Primary somatosensory area, trunk, layer 6a","Supplemental somatosensory area, layer 5","Supplemental somatosensory area, layer 6a","Infralimbic area, layer 5","Infralimbic area, layer 6a","Gustatory areas, layer 5","Gustatory areas, layer 6a","Visceral area, layer 5","Visceral area, layer 6a","Dorsal auditory area, layer 5","Dorsal auditory area, layer 6a","Primary auditory area, layer 5","Primary auditory area, layer 6a","Posterior auditory area, layer 5","Posterior auditory area, layer 6a","Ventral auditory area, layer 5","Ventral auditory area, layer 6a","Anterolateral visual area, layer 5","Anterolateral visual area, layer 6a","Anteromedial visual area, layer 5","Anteromedial visual area, layer 6a","Lateral visual area, layer 5","Lateral visual area, layer 6a","Primary visual area, layer 5","Primary visual area, layer 6a","Posterolateral visual area, layer 5","Posterolateral visual area, layer 6a","posteromedial visual area, layer 5","posteromedial visual area, layer 6a","Anterior cingulate area, dorsal part, layer 5","Anterior cingulate area, dorsal part, layer 6a","Anterior cingulate area, ventral part, layer 5","Anterior cingulate area, ventral part, 6a","Prelimbic area, layer 5","Prelimbic area, layer 6a","Orbital area, lateral part, layer 5","Orbital area, lateral part, layer 6a","Orbital area, medial part, layer 5","Orbital area, medial part, layer 6a","Orbital area, ventrolateral part, layer 5","Orbital area, ventrolateral part, layer 6a","Agranular insular area, dorsal part, layer 5","Agranular insular area, dorsal part, layer 6a","Agranular insular area, posterior part, layer 5","Agranular insular area, posterior part, layer 6a","Agranular insular area, ventral part, layer 5","Agranular insular area, ventral part, layer 6a","Retrosplenial area, lateral agranular part, layer 5","Retrosplenial area, lateral agranular part, layer 6a","Retrosplenial area, dorsal part, layer 5","Retrosplenial area, dorsal part, layer 6a","Retrosplenial area, ventral part, layer 5","Retrosplenial area, ventral part, layer 6a","Posterior parietal association areas, layer 5","Posterior parietal association areas, layer 6a","Temporal association areas, layer 5","Temporal association areas, layer 6a","Perirhinal area, layer 6a","Perirhinal area, layer 5",Ectorhinal area/Layer 5
